date,he,coal,gas,hydro,nuclear,other,wind
2012-01-31,19,0.149021,0.556832,0.646497,0.743109,0.517304,0.779688
2012-01-31,20,0.103861,0.530008,0.687783,0.743513,0.517304,0.782894
2012-01-31,21,0.104207,0.490143,0.653755,0.743539,0.515167,0.787782
2012-01-31,22,0.104448,0.473631,0.542789,0.742694,0.515167,0.781309
2012-01-31,23,0.102676,0.455662,0.436969,0.743165,0.515167,0.789953
2012-01-31,24,0.103254,0.369545,0.405661,0.741354,0.361630,0.810761
2012-02-01,1,0.103246,0.351657,0.386573,0.719617,0.358341,0.829647
2012-02-01,2,0.078789,0.333313,0.374870,0.696438,0.356204,0.856156
2012-02-01,3,0.077829,0.334217,0.342632,0.678755,0.350778,0.826030
2012-02-01,4,0.088450,0.349555,0.371382,0.679116,0.350778,0.781403
2012-02-01,5,0.076775,0.382754,0.371021,0.678753,0.352999,0.796718
2012-02-01,6,0.078839,0.400158,0.396145,0.678153,0.355136,0.803883
2012-02-01,7,0.093423,0.436805,0.519421,0.685581,0.382958,0.797419
2012-02-01,8,0.148028,0.495347,0.571644,0.706189,0.390167,0.715593
2012-02-01,9,0.244437,0.462348,0.573976,0.736431,0.390167,0.676649
2012-02-01,10,0.140901,0.462118,0.603294,0.742333,0.392304,0.565098
2012-02-01,11,0.159748,0.492097,0.599352,0.742630,0.393457,0.536947
2012-02-01,12,0.157301,0.500687,0.577723,0.742556,0.391236,0.501933
2012-02-01,13,0.155121,0.513578,0.578035,0.742872,0.395593,0.495001
2012-02-01,14,0.157715,0.516940,0.561141,0.742486,0.392304,0.408508
2012-02-01,15,0.159310,0.514660,0.585314,0.742481,0.392304,0.351599
2012-02-01,16,0.160417,0.521021,0.617377,0.804800,0.398253,0.364562
2012-02-01,17,0.133306,0.540412,0.639006,0.741807,0.398253,0.325101
2012-02-01,18,0.175671,0.596366,0.675544,0.741765,0.399321,0.327381
2012-02-01,19,0.240371,0.613808,0.679336,0.742014,0.398253,0.289962
2012-02-01,20,0.170179,0.592323,0.685966,0.742846,0.399321,0.248862
2012-02-01,21,0.157818,0.600973,0.650924,0.742191,0.399321,0.233129
2012-02-01,22,0.109930,0.585219,0.600780,0.742317,0.399321,0.207268
2012-02-01,23,0.086077,0.537402,0.470575,0.741940,0.399321,0.176828
2012-02-01,24,0.082958,0.518032,0.414674,0.742423,0.368125,0.165723
2012-02-02,1,0.101746,0.451537,0.415816,0.804704,0.358256,0.159971
2012-02-02,2,0.105523,0.420704,0.377644,0.804816,0.359325,0.152936
2012-02-02,3,0.106343,0.404190,0.351720,0.742387,0.361984,0.160232
2012-02-02,4,0.103751,0.416290,0.350633,0.804763,0.359325,0.099878
2012-02-02,5,0.101572,0.454543,0.366965,0.742671,0.362614,0.169749
2012-02-02,6,0.110253,0.468241,0.405882,0.742586,0.362614,0.179500
2012-02-02,7,0.120745,0.550045,0.517862,0.742480,0.382351,0.104360
2012-02-02,8,0.172555,0.593864,0.608798,0.742719,0.395948,0.170782
2012-02-02,9,0.194176,0.594670,0.630367,0.742646,0.386462,0.170796
2012-02-02,10,0.198107,0.602365,0.617559,0.742380,0.379552,0.170510
2012-02-02,11,0.229981,0.610182,0.590589,0.742463,0.384871,0.174411
2012-02-02,12,0.280653,0.599927,0.630699,0.804794,0.395071,0.176732
2012-02-02,13,0.264625,0.587038,0.649828,0.742112,0.400390,0.187710
2012-02-02,14,0.248258,0.585126,0.632440,0.742252,0.399321,0.209382
2012-02-02,15,0.268768,0.589094,0.587394,0.742567,0.403049,0.211050
2012-02-02,16,0.302833,0.591784,0.628662,0.742137,0.399321,0.213688
2012-02-02,17,0.284878,0.659677,0.603981,0.742213,0.401981,0.135051
2012-02-02,18,0.389812,0.674719,0.680497,0.742653,0.399321,0.111425
2012-02-02,19,0.429965,0.728592,0.654355,0.742541,0.401981,0.040005
2012-02-02,20,0.382359,0.717429,0.674411,0.742656,0.401981,0.028901
2012-02-02,21,0.353000,0.711307,0.638373,0.742437,0.399321,0.028772
2012-02-02,22,0.270498,0.694236,0.578727,0.742319,0.399321,0.038201
2012-02-02,23,0.174890,0.610191,0.483326,0.742277,0.400913,0.025665
2012-02-02,24,0.156354,0.533154,0.429179,0.742457,0.370869,0.094199
2012-02-03,1,0.156743,0.484735,0.393707,0.742691,0.362699,0.162649
2012-02-03,2,0.134211,0.425941,0.393585,0.742899,0.362699,0.174283
2012-02-03,3,0.126097,0.397454,0.353425,0.742538,0.362699,0.188931
2012-02-03,4,0.125683,0.406214,0.382000,0.742346,0.359409,0.211442
2012-02-03,5,0.126740,0.444557,0.365749,0.742475,0.362069,0.223232
2012-02-03,6,0.117369,0.496987,0.411930,0.742460,0.362699,0.227341
2012-02-03,7,0.202499,0.603910,0.486076,0.742420,0.371499,0.217477
2012-02-03,8,0.281779,0.650024,0.593295,0.742837,0.397185,0.193358
2012-02-03,9,0.386105,0.650482,0.636462,0.743121,0.398253,0.187846
2012-02-03,10,0.368043,0.649012,0.654703,0.742815,0.400913,0.187494
2012-02-03,11,0.331945,0.651651,0.629135,0.742500,0.401981,0.190580
2012-02-03,12,0.346661,0.610312,0.624735,0.742082,0.401981,0.186296
2012-02-03,13,0.346139,0.580481,0.604196,0.743276,0.403049,0.201395
2012-02-03,14,0.315637,0.585649,0.619974,0.743546,0.403049,0.193053
2012-02-03,15,0.203519,0.607230,0.572303,0.743238,0.403049,0.205680
2012-02-03,16,0.155131,0.607176,0.594887,0.743547,0.404118,0.217540
2012-02-03,17,0.259915,0.608366,0.573806,0.743476,0.404118,0.205381
2012-02-03,18,0.296607,0.659234,0.644737,0.743620,0.401458,0.143002
2012-02-03,19,0.317316,0.646514,0.653968,0.743624,0.405186,0.222840
2012-02-03,20,0.273478,0.657148,0.667083,0.743621,0.404118,0.238536
2012-02-03,21,0.247877,0.645828,0.602403,0.743351,0.399237,0.269190
2012-02-03,22,0.212836,0.591612,0.598990,0.743050,0.402526,0.284241
2012-02-03,23,0.209935,0.571187,0.518581,0.742896,0.398169,0.264580
2012-02-03,24,0.198660,0.506880,0.461802,0.805032,0.448141,0.256152
2012-02-04,1,0.208662,0.420458,0.403496,0.807951,0.323141,0.253186
2012-02-04,2,0.243142,0.348173,0.366652,0.745567,0.322072,0.235821
2012-02-04,3,0.239259,0.334345,0.356320,0.745881,0.325800,0.250030
2012-02-04,4,0.207305,0.329203,0.373681,0.743014,0.323141,0.233487
2012-02-04,5,0.189902,0.342488,0.373815,0.743279,0.323141,0.229525
2012-02-04,6,0.178463,0.369484,0.394225,0.743325,0.323141,0.237627
2012-02-04,7,0.180218,0.412042,0.447689,0.743007,0.324732,0.231566
2012-02-04,8,0.257633,0.473097,0.494119,0.743253,0.316032,0.217182
2012-02-04,9,0.284522,0.509755,0.549522,0.743059,0.310625,0.213000
2012-02-04,10,0.299339,0.527199,0.577304,0.743011,0.309252,0.195824
2012-02-04,11,0.331607,0.542624,0.560437,0.742824,0.309252,0.171570
2012-02-04,12,0.381209,0.535176,0.593329,0.742624,0.338098,0.178275
2012-02-04,13,0.346064,0.549728,0.594770,0.741723,0.311911,0.184882
2012-02-04,14,0.350263,0.539359,0.568128,0.741317,0.313285,0.180011
2012-02-04,15,0.317069,0.513352,0.559556,0.741317,0.311911,0.182372
2012-02-04,16,0.247955,0.501581,0.610938,0.742439,0.340757,0.186991
2012-02-04,17,0.246677,0.518675,0.622003,0.742518,0.305964,0.173289
2012-02-04,18,0.375317,0.543079,0.637484,0.741749,0.305964,0.094082
2012-02-04,19,0.409586,0.555883,0.650259,0.742298,0.315662,0.160103
2012-02-04,20,0.341578,0.575989,0.652017,0.743310,0.318867,0.164691
2012-02-04,21,0.402303,0.546663,0.625158,0.742879,0.323663,0.058137
2012-02-04,22,0.272453,0.518153,0.559614,0.742734,0.323663,0.047642
2012-02-04,23,0.237620,0.507296,0.458901,0.742953,0.323663,0.031224
2012-02-04,24,0.192472,0.442326,0.448143,0.742650,0.324732,0.026105
2012-02-05,1,0.087778,0.396950,0.412825,0.743466,0.323663,0.018718
2012-02-05,2,0.086909,0.347570,0.375989,0.743149,0.323663,0.012981
2012-02-05,3,0.114194,0.338985,0.359692,0.743376,0.323663,0.019718
2012-02-05,4,0.112657,0.348220,0.371437,0.743694,0.322595,0.027936
2012-02-05,5,0.121270,0.346901,0.372819,0.743573,0.323663,0.036699
2012-02-05,6,0.093534,0.375305,0.384181,0.743376,0.321004,0.050863
2012-02-05,7,0.086163,0.378970,0.439365,0.743072,0.323663,0.064143
2012-02-05,8,0.086607,0.393754,0.489726,0.741845,0.323663,0.067944
2012-02-05,9,0.064828,0.433317,0.551367,0.804345,0.321004,0.069018
2012-02-05,10,0.144411,0.452076,0.549052,0.761130,0.322595,0.060603
2012-02-05,11,0.165614,0.458914,0.583857,0.775402,0.313548,0.119708
2012-02-05,12,0.072665,0.477003,0.594340,0.795808,0.309820,0.173372
2012-02-05,13,0.075556,0.501339,0.569676,0.860584,0.307160,0.180570
2012-02-05,14,0.075322,0.495774,0.573568,0.800067,0.303433,0.198331
2012-02-05,15,0.075556,0.491792,0.567851,0.798433,0.304501,0.148543
2012-02-05,16,0.075790,0.499597,0.582765,0.798215,0.304501,0.160552
2012-02-05,17,0.089839,0.505339,0.589167,0.798170,0.306092,0.188908
2012-02-05,18,0.224158,0.536959,0.627255,0.798374,0.316730,0.205531
2012-02-05,19,0.222621,0.539592,0.665642,0.806136,0.316730,0.310645
2012-02-05,20,0.160986,0.515445,0.668906,0.802241,0.317799,0.383543
2012-02-05,21,0.101053,0.509949,0.633136,0.806349,0.317799,0.470735
2012-02-05,22,0.073768,0.470202,0.546933,0.805307,0.316730,0.496578
2012-02-05,23,0.073534,0.424948,0.489200,0.805424,0.316730,0.522135
2012-02-05,24,0.072749,0.392843,0.418558,0.805200,0.316730,0.500697
2012-02-06,1,0.080816,0.350688,0.388540,0.805272,0.316185,0.512621
2012-02-06,2,0.072813,0.327912,0.335896,0.867794,0.440662,0.517932
2012-02-06,3,0.073133,0.314940,0.345222,0.815215,0.352915,0.537102
2012-02-06,4,0.073047,0.333372,0.344645,0.815556,0.356204,0.535222
2012-02-06,5,0.073047,0.350084,0.346754,0.890533,0.358864,0.561398
2012-02-06,6,0.073517,0.410097,0.396135,0.901930,0.353983,0.639514
2012-02-06,7,0.103373,0.519303,0.503176,0.850636,0.380299,0.700754
2012-02-06,8,0.153267,0.545748,0.550679,0.859437,0.391758,0.681978
2012-02-06,9,0.149557,0.554753,0.618417,0.867100,0.392827,0.681530
2012-02-06,10,0.140283,0.525810,0.602736,0.866278,0.392827,0.651130
2012-02-06,11,0.138144,0.533643,0.622525,0.865338,0.392827,0.601569
2012-02-06,12,0.129563,0.526449,0.632230,0.865294,0.392827,0.591393
2012-02-06,13,0.130119,0.501677,0.615520,0.864970,0.392827,0.630216
2012-02-06,14,0.131323,0.485893,0.609153,0.865408,0.393895,0.708679
2012-02-06,15,0.130983,0.468939,0.591778,0.841948,0.393895,0.728960
2012-02-06,16,0.129126,0.477843,0.596813,0.805740,0.396555,0.733468
2012-02-06,17,0.172713,0.510264,0.635760,0.804615,0.393895,0.698650
2012-02-06,18,0.295720,0.555298,0.640832,0.804787,0.394964,0.673697
2012-02-06,19,0.390270,0.571575,0.601372,0.867647,0.398691,0.666971
2012-02-06,20,0.385387,0.578328,0.607826,0.867043,0.396470,0.612232
2012-02-06,21,0.495839,0.584461,0.597306,0.804184,0.393181,0.588139
2012-02-06,22,0.296626,0.539864,0.598071,0.803430,0.393181,0.563170
2012-02-06,23,0.215268,0.498355,0.540371,0.782401,0.396470,0.453164
2012-02-06,24,0.214241,0.405081,0.487975,0.803677,0.376295,0.414001
2012-02-07,1,0.207758,0.361045,0.420681,0.806619,0.367495,0.378258
2012-02-07,2,0.208745,0.334152,0.392772,0.806958,0.364206,0.339651
2012-02-07,3,0.214935,0.328878,0.377702,0.867528,0.362614,0.317357
2012-02-07,4,0.208022,0.356713,0.366059,0.805119,0.364206,0.300670
2012-02-07,5,0.207468,0.420286,0.353725,0.804668,0.368563,0.308461
2012-02-07,6,0.221992,0.439216,0.397026,0.804541,0.368563,0.305379
2012-02-07,7,0.274094,0.510720,0.504291,0.805081,0.388930,0.346372
2012-02-07,8,0.401731,0.555654,0.612835,0.803634,0.399237,0.342343
2012-02-07,9,0.373209,0.561732,0.636645,0.804233,0.399237,0.290318
2012-02-07,10,0.439562,0.501665,0.628198,0.803874,0.400305,0.271957
2012-02-07,11,0.387222,0.507419,0.640732,0.806142,0.401897,0.282368
2012-02-07,12,0.331421,0.513617,0.621662,0.806012,0.401897,0.344131
2012-02-07,13,0.262724,0.501985,0.606975,0.806256,0.401897,0.499578
2012-02-07,14,0.229119,0.486258,0.568224,0.806032,0.399237,0.499102
2012-02-07,15,0.224556,0.507969,0.577070,0.806991,0.401897,0.499894
2012-02-07,16,0.204906,0.528097,0.576151,0.786583,0.399237,0.533166
2012-02-07,17,0.234886,0.571861,0.594650,0.795938,0.399237,0.524004
2012-02-07,18,0.362133,0.588022,0.645426,0.806839,0.398607,0.492859
2012-02-07,19,0.467616,0.599249,0.690367,0.807020,0.395318,0.473427
2012-02-07,20,0.410001,0.591855,0.678357,0.869794,0.395318,0.461002
2012-02-07,21,0.389239,0.597115,0.687834,0.865953,0.395318,0.408123
2012-02-07,22,0.272477,0.570040,0.601511,0.803296,0.398607,0.338480
2012-02-07,23,0.229327,0.513118,0.537795,0.865386,0.395318,0.299425
2012-02-07,24,0.214574,0.490425,0.477934,0.803199,0.376295,0.281253
2012-02-08,1,0.211166,0.437347,0.409647,0.800808,0.368563,0.287974
2012-02-08,2,0.210566,0.410357,0.381060,0.863322,0.368563,0.283176
2012-02-08,3,0.210258,0.396809,0.377114,0.863537,0.368563,0.277571
2012-02-08,4,0.217153,0.412869,0.378518,0.802129,0.367495,0.266763
2012-02-08,5,0.212674,0.456000,0.376924,0.864755,0.369716,0.258184
2012-02-08,6,0.216156,0.488598,0.419236,0.867644,0.368648,0.185507
2012-02-08,7,0.322058,0.570960,0.565946,0.805408,0.375395,0.195455
2012-02-08,8,0.420984,0.618071,0.636156,0.805207,0.397707,0.140529
2012-02-08,9,0.378749,0.604165,0.630203,0.805640,0.395048,0.131744
2012-02-08,10,0.277759,0.616286,0.618453,0.804917,0.395048,0.200848
2012-02-08,11,0.278710,0.608326,0.597587,0.806453,0.398776,0.285131
